storeid,store
1,미영이네식당
2,상춘재
3,남양수산
4,연리지가든
5,숙성도
6,곰막
7,선흘곶
8,제주선채향
9,중문수두리보말칼국수
10,숙성도
11,표선어촌식당
12,큰돈가
13,복집식당
14,코시롱
15,우진해장국
16,피어22
17,일통이반
18,천짓골식당
19,맛나식당
20,섭지코지로
21,상원가든
22,넉둥베기
23,육고깃집
24,오롯
25,운산식당
26,광명식당
27,동선제면가
28,제주돈아
29,풀사이드바
30,영해식당
31,해왓
32,만선바다
33,낭푼밥상
34,논짓물
35,명진전복
36,국수만찬
37,칠돈가
38,그리운바다성산포
39,해심가든 
40,김희선몸국
41,금박돈
42,화성식당
43,대포칼제비
44,선흘방주할머니식당
45,범일분식
46,가스름식당
47,순창갈비
48,은갈치김밥
49,그옛맛
50,으뜨미
51,원담
52,감성돈
53,88돼지
54,춘심이네
55,만선식당
56,오는정김밥
57,뽈살집
58,포도호텔레스토랑
59,물항식당
60,솔지식당
61,민경이네어등포해녀촌
62,낭뜰에쉼팡
63,웅담식당
64,바다를본돼지
65,금능낙원
66,산지해장국
67,3대해녀의집
68,올래국수
69,연동마라도
70,돈사돈
71,만세국수
72,은희네해장국
73,문개항아리
74,골막식당
75,어우늘
76,더꽃돈
77,다소니
78,춘미향식당
79,남춘식당
80,고이정
81,효퇴국수국밥
82,신설오름포장마차
83,평대스낵 (휴업중)
84,톰톰카레
85,한치앞도모를바다
86,부두식당
87,삼일식당
88,난드르바당
89,부뚜막식당
90,흑돼지BBQ
91,옥돔식당
92,우도해광식당
93,우리수산
94,꽃가람
95,뚱보아저씨
96,디앤디파트먼트 제주
97,제주순메밀막국수
98,제주촌집
99,자매국수
100,가시아방국수
101,송림반점
102,천일만두
103,미친부엌
104,원조마라도짜장면집
105,섬소나이
106,홍성방
107,짬뽕에취한날
108,아서원
109,르쉬느아
110,보영반점
111,대구반점
112,유일반점
113,임성반점
114,딤섬 9898
115,덕성원
116,해신짬뽕
117,소리원
118,고래배꼽
119,샤오츠
120,아주반점
121,만사성
122,금성문
123,다래향
124,키다리아저씨엔윤식당
125,연화반점
126,산호반점
127,수타명가
128,론푸드차이나
129,덕성원
130,이루후제
131,강쉐프짬뽕
132,고고짬뽕
133,팍차이나
134,만강홍
135,동북왕
136,대관원
137,램스이어양꼬치
138,쇼린마라탕 오리목전문점
139,오일장반점
140,봉추반점
141,철가방을든해녀
142,장백산
143,가파도해물짜장짬뽕
144,마라도해녀촌짜장
145,우도 아름다운소풍
146,십원향
147,더하오하오
148,황해루
149,길리추팡
150,짜장왕
151,아임파인
152,류차이
153,소담히로
154,샤오핑
155,모리아짬뽕
156,엄블랑짬뽕
157,지엔방짬뽕연구소
158,도향촌
159,한동촌놈
160,삼춘반점
161,길림성
162,마라판다
163,한양관양꼬치
164,우도짜장맨
165,연태만
166,서유기마라탕&훠궈
167,신룽푸마라탕
168,우디아리
169,와랑와랑
170,송이반점
171,홍보석
172,갑뽕
173,이화원
174,소낭식당
175,짬뽕바나나
176,친친
177,서바당횟집
178,로이앤메이
179,양
180,강정중국집
181,성산짬뽕
182,미짬뽕
183,이비가짬뽕
184,차이나 하우스
185,동가
186,천금반점
187,유성반점
188,연예인반점
189,영성반점
190,영춘반점
191,법환성
192,개원
193,홍림관
194,탕궁훠궈
195,신룽푸마라탕
196,신룽푸마라탕
197,마라신화마라탕
198,덕성원
